cleaned,vector
dernier fois mettre pied dommage localisation sympa  service désagréable clairement,"[0.14213590323925018, -0.006939000450074673, 0.020029138773679733, 0.09054986387491226, 0.02800223045051098, -0.1765558123588562, 0.032668549567461014, -0.019146393984556198, -0.15794865787029266, 0.07510743290185928, 0.09915697574615479, -0.025729741901159286, -0.10356029868125916, -0.013833528384566307, 0.012773110531270504, 0.12469236552715302, -0.026842083781957626, 0.008027393370866776, -0.024759694933891296, 0.1699196845293045, 0.09434676170349121, 0.1458614319562912, 0.11462107300758362, -0.1320183277130127, -0.07828474044799805, 0.09835564345121384, -0.012181774713099003, 0.012877474538981915, -0.026427511125802994, -0.06813674420118332, -0.004062434658408165, 0.09963807463645935, -0.0006468628998845816, -0.04069145768880844, 0.004451573360711336, -0.0009743835544213653, 0.050581276416778564, -0.015739304944872856, -0.009479374624788761, -0.008828336372971535, -0.06447283923625946, 0.01873297616839409, -0.059949688613414764, -0.023822834715247154, 0.051058024168014526, -0.05559617653489113, 0.02144998498260975, -0.03355976566672325, -0.059972573071718216, 0.10045834630727768, 0.07854156941175461, 0.03289118409156799, 0.09033549576997757, 0.06977982819080353, 0.07028258591890335, 0.03410596400499344, 0.05245731398463249, -0.020351801067590714, -0.08069878071546555, 0.08601939678192139, -0.019577158614993095, -0.0004798476293217391, 0.029307132586836815, 0.008618956431746483]"
bon plan préparer maison  bruyant impression maison fou acteur intervenir hurler insulter,"[0.5532282590866089, -0.03177577629685402, 0.10864325612783432, 0.28856024146080017, 0.20304685831069946, -0.6706275343894958, 0.11491113156080246, -0.056506864726543427, -0.5481950640678406, 0.20403479039669037, 0.2972564995288849, -0.11310793459415436, -0.3999709188938141, -0.13368810713291168, 0.05369103327393532, 0.44858789443969727, -0.09720966964960098, 0.0507824681699276, -0.13183008134365082, 0.6137493252754211, 0.33255258202552795, 0.5381657481193542, 0.4527062475681305, -0.5011340975761414, -0.2610761523246765, 0.3764578104019165, -0.06563325971364975, 0.021074920892715454, -0.0373099148273468, -0.22053667902946472, 0.015990832820534706, 0.3260805606842041, -0.021417368203401566, -0.1456155925989151, 0.014026010408997536, -0.053997259587049484, 0.08768454194068909, -0.011287556029856205, -0.017251349985599518, -0.030699709430336952, -0.25197136402130127, 0.05576711520552635, -0.21613426506519318, -0.12804359197616577, 0.190354585647583, -0.22154223918914795, 0.0757848471403122, -0.18245697021484375, -0.15693944692611694, 0.32273170351982117, 0.2508694529533386, 0.17222751677036285, 0.3520292341709137, 0.26714029908180237, 0.19192242622375488, 0.15219427645206451, 0.24933379888534546, -0.07049163430929184, -0.2547149658203125, 0.2377118617296219, -0.08707280457019806, -0.05244968459010124, 0.10951748490333557, 0.04040081426501274]"
horreur personnel refuse servir boire restaurant moitié vide,"[0.1864791214466095, -0.009616803377866745, 0.02445097640156746, 0.08872593939304352, 0.06728096306324005, -0.2273867428302765, 0.05107317119836807, -0.0355340950191021, -0.2050449103116989, 0.06504573673009872, 0.10628344863653183, -0.043110836297273636, -0.13519921898841858, -0.05959146469831467, 0.01879197172820568, 0.161057248711586, -0.03156270459294319, 0.016831843182444572, -0.05609193071722984, 0.23328332602977753, 0.11123606562614441, 0.1947096288204193, 0.15217649936676025, -0.18060541152954102, -0.09433817863464355, 0.15018868446350098, -0.01996014453470707, 0.010215327143669128, -0.017358312383294106, -0.050758231431245804, -0.010292078368365765, 0.11598891019821167, -0.0008477799128741026, -0.05473442003130913, -0.0014944636495783925, -0.008331161923706532, 0.030612202361226082, -0.005561968311667442, -0.02338661439716816, -0.01293256413191557, -0.10285276919603348, 0.01922045275568962, -0.07588420063257217, -0.05248706042766571, 0.07911068201065063, -0.07280459254980087, 0.02128538489341736, -0.07569121569395065, -0.05952901393175125, 0.12831784784793854, 0.08524322509765625, 0.0624857023358345, 0.11517305672168732, 0.09101538360118866, 0.05706983059644699, 0.03972307965159416, 0.09046418219804764, -0.022996990010142326, -0.09688594937324524, 0.10136494785547256, -0.03284690901637077, -9.137269807979465e-05, 0.04396064579486847, 0.005570564419031143]"
 euro commande foodora repas froid vraiment goût sauce plein huile recommande concevoir,"[0.3350614905357361, -0.03648197278380394, 0.06327756494283676, 0.16037684679031372, 0.12163231521844864, -0.3741503357887268, 0.056121375411748886, -0.039459723979234695, -0.2766094505786896, 0.12984266877174377, 0.1712390035390854, -0.0720711424946785, -0.21865414083003998, -0.0746186152100563, 0.033849116414785385, 0.24215352535247803, -0.05204283073544502, 0.03220176696777344, -0.06879952549934387, 0.3399885296821594, 0.19375652074813843, 0.30010557174682617, 0.2618357837200165, -0.270354688167572, -0.14419832825660706, 0.1904740035533905, -0.027542270720005035, 0.01708277128636837, -0.024403566494584084, -0.1186128556728363, -0.004015195649117231, 0.20661896467208862, -0.015651678666472435, -0.07320953905582428, 0.0032872760202735662, -0.0414990596473217, 0.05369627848267555, -0.0010486297542229295, -0.003151573473587632, -0.006331458687782288, -0.15022307634353638, 0.04604855924844742, -0.12198061496019363, -0.058938637375831604, 0.11107838898897171, -0.12916633486747742, 0.03649017587304115, -0.09210192412137985, -0.09219495952129364, 0.20061089098453522, 0.13231559097766876, 0.09794218093156815, 0.20046299695968628, 0.16319037973880768, 0.09054488688707352, 0.10298261046409607, 0.12471514195203781, -0.0410565510392189, -0.11090128123760223, 0.13244439661502838, -0.04357068985700607, -0.02550830878317356, 0.06153286248445511, 0.014053929597139359]"
devoir proposer chose végétarien bière connaître prix excessif  ambiance sympa,"[0.305906742811203, -0.020965130999684334, 0.05537322536110878, 0.16291241347789764, 0.1160447895526886, -0.37485289573669434, 0.0631270557641983, -0.04055480659008026, -0.30462411046028137, 0.11082130670547485, 0.19280363619327545, -0.07179098576307297, -0.22667525708675385, -0.08403288573026657, 0.03501749783754349, 0.276174396276474, -0.06478183716535568, 0.03396992385387421, -0.06810148060321808, 0.3417476713657379, 0.18537452816963196, 0.3063044548034668, 0.2401667982339859, -0.2676228880882263, -0.15265686810016632, 0.2193794548511505, -0.05076223611831665, -0.002303031738847494, -0.027966221794486046, -0.10749498009681702, -0.0028782247100025415, 0.16989955306053162, -0.019515255466103554, -0.08229219913482666, 0.007946150377392769, -0.019802166149020195, 0.06967812031507492, -0.004879148676991463, 0.0012442596489563584, -0.0323045514523983, -0.12674471735954285, 0.04026205465197563, -0.12742623686790466, -0.07753913104534149, 0.11278694123029709, -0.09963347762823105, 0.03864656761288643, -0.08756442368030548, -0.10307560116052628, 0.20023596286773682, 0.1236565113067627, 0.09658663719892502, 0.17627882957458496, 0.1543554961681366, 0.11470061540603638, 0.09911619126796722, 0.11838337779045105, -0.023568836972117424, -0.1310591697692871, 0.13927875459194183, -0.059574563056230545, -0.051312923431396484, 0.06119066849350929, 0.014642027206718922]"
être décevoir dernier fois exceptionnellement prendre flammenkuche plat imprononçable régional fade pire être,"[0.4419368803501129, -0.03991611301898956, 0.09058693796396255, 0.23435106873512268, 0.14512205123901367, -0.5468122959136963, 0.09471368789672852, -0.0621672160923481, -0.4398704767227173, 0.17846396565437317, 0.2646869719028473, -0.09999397397041321, -0.30981627106666565, -0.09309233725070953, 0.034235406666994095, 0.3771131634712219, -0.08774098753929138, 0.023867029696702957, -0.10347546637058258, 0.4899694323539734, 0.2836892604827881, 0.42670729756355286, 0.34624797105789185, -0.40617820620536804, -0.21968044340610504, 0.3029191195964813, -0.05300620198249817, 0.0003032253298442811, -0.03935234248638153, -0.15838442742824554, 0.011701675131917, 0.2444617748260498, -0.016623424366116524, -0.12758629024028778, 0.012583456933498383, -0.04850001633167267, 0.0825178250670433, -0.002379967365413904, -0.011513253673911095, -0.01694658026099205, -0.1812114268541336, 0.060279522091150284, -0.1613885462284088, -0.09238745272159576, 0.15673071146011353, -0.15386536717414856, 0.05472717806696892, -0.1504640281200409, -0.14081278443336487, 0.2573970854282379, 0.20579835772514343, 0.1465931087732315, 0.2772006690502167, 0.204817533493042, 0.1411147266626358, 0.1339939683675766, 0.19595086574554443, -0.04561983421444893, -0.20470860600471497, 0.20338352024555206, -0.06638672947883606, -0.030078347772359848, 0.08702997118234634, 0.00695288460701704]"
temps envie goûter cuisine christophe scherpereel décevoir attention bien être tomber,"[0.35311001539230347, -0.020104700699448586, 0.06854606419801712, 0.1805478185415268, 0.13541275262832642, -0.40964624285697937, 0.0570831261575222, -0.04821600392460823, -0.3581746220588684, 0.13305659592151642, 0.21069762110710144, -0.07141464203596115, -0.2399190068244934, -0.08912468701601028, 0.032277487218379974, 0.30487558245658875, -0.07023165374994278, 0.00957900658249855, -0.07418211549520493, 0.3952876329421997, 0.2072182297706604, 0.3183141350746155, 0.27257248759269714, -0.3069670796394348, -0.16658243536949158, 0.21170474588871002, -0.050133250653743744, 0.023795299232006073, -0.02327621914446354, -0.11999104917049408, -0.0007385053904727101, 0.19654597342014313, -0.004778307396918535, -0.1005357876420021, 0.013220977038145065, -0.0379757396876812, 0.06595348566770554, 0.005054143723100424, -0.0022194853518158197, -0.021540801972150803, -0.14709161221981049, 0.051820315420627594, -0.11627011746168137, -0.08085829764604568, 0.1163298487663269, -0.15037959814071655, 0.04181598126888275, -0.11435720324516296, -0.10237700492143631, 0.20910611748695374, 0.13992811739444733, 0.10617928206920624, 0.2129759043455124, 0.15919265151023865, 0.12718692421913147, 0.09751253575086594, 0.1622050404548645, -0.03578827157616615, -0.16643786430358887, 0.15701733529567719, -0.05522531643509865, -0.04102485254406929, 0.06519155204296112, 0.020952196791768074]"
décevoir entrée poisson fade plat choix porc maturé cabillaud risotto coquillage prendre poisson croire serveur,"[0.47412043809890747, -0.02604592964053154, 0.09350156784057617, 0.229153111577034, 0.14422748982906342, -0.5552447438240051, 0.09943649172782898, -0.08095502108335495, -0.45397770404815674, 0.1548217236995697, 0.29997575283050537, -0.10462933033704758, -0.34062570333480835, -0.11605003476142883, 0.05179565027356148, 0.4114915132522583, -0.08020608872175217, 0.012107554823160172, -0.10906074196100235, 0.5005962252616882, 0.2912657856941223, 0.4318433105945587, 0.3653617203235626, -0.41493725776672363, -0.24597597122192383, 0.2974756062030792, -0.058062486350536346, 0.006668366491794586, -0.020697593688964844, -0.16934116184711456, 0.02178133651614189, 0.27486103773117065, -0.03722366318106651, -0.11352857202291489, 0.011340425349771976, -0.05326719582080841, 0.0694241151213646, -0.007537662982940674, -0.0077597773633897305, -0.03906002640724182, -0.17760370671749115, 0.0747523307800293, -0.15261726081371307, -0.10648306459188461, 0.14740367233753204, -0.19088026881217957, 0.07139405608177185, -0.1646779626607895, -0.12709937989711761, 0.2816983461380005, 0.20540748536586761, 0.1491054743528366, 0.2920839488506317, 0.21970443427562714, 0.15272091329097748, 0.12944288551807404, 0.21313203871250153, -0.04081480950117111, -0.2304222285747528, 0.21328634023666382, -0.0717860758304596, -0.021049195900559425, 0.08985866606235504, 0.03739740699529648]"
dommage gâcher bon plat attitude irrespectueux impoli désagréable part serveuse connaître aucun formule politesse,"[0.3271165192127228, -0.010906867682933807, 0.06527457386255264, 0.20268283784389496, 0.1136663481593132, -0.3968847692012787, 0.07917703688144684, -0.03452245518565178, -0.33383411169052124, 0.10546586662530899, 0.19294914603233337, -0.07215233892202377, -0.2581373453140259, -0.08038312196731567, 0.04375945031642914, 0.26419129967689514, -0.06570200622081757, 0.023377832025289536, -0.08415093272924423, 0.3855552077293396, 0.2192559689283371, 0.31861433386802673, 0.26361149549484253, -0.2915579080581665, -0.15727919340133667, 0.22177055478096008, -0.031988147646188736, 0.01570540852844715, -0.032528094947338104, -0.1130029559135437, -0.0030368920415639877, 0.16983452439308167, -0.00505103450268507, -0.07647556811571121, 0.021429844200611115, -0.02409607730805874, 0.07301439344882965, -0.025791114196181297, -0.007922054268419743, -0.01484270766377449, -0.15108385682106018, 0.04824223741889, -0.14064328372478485, -0.06734641641378403, 0.09803814440965652, -0.1251852959394455, 0.027287371456623077, -0.11706047505140305, -0.10403565317392349, 0.195282980799675, 0.12808085978031158, 0.10184571146965027, 0.20404531061649323, 0.1612550914287567, 0.1113416850566864, 0.08964665979146957, 0.1402638554573059, -0.022378237918019295, -0.1545870304107666, 0.14909496903419495, -0.06035895645618439, -0.012141489423811436, 0.05752971023321152, 0.008975218050181866]"
coup oeil découvrir ressemble cantine bruyant vieillissant milieu trouve immense choix,"[0.5182081460952759, -0.02076391875743866, 0.07403068244457245, 0.2557695806026459, 0.16936872899532318, -0.6000329852104187, 0.09159157425165176, -0.06854955106973648, -0.49345263838768005, 0.1805347204208374, 0.2908569276332855, -0.10717542469501495, -0.3685663640499115, -0.1355699747800827, 0.04554595425724983, 0.41693297028541565, -0.09888231754302979, 0.03646601364016533, -0.12469498813152313, 0.5661115646362305, 0.29048532247543335, 0.46603453159332275, 0.39717769622802734, -0.4503876566886902, -0.24554212391376495, 0.3270292282104492, -0.05767583101987839, 0.02594706416130066, -0.035449158400297165, -0.182662233710289, 0.007837054319679737, 0.3002144396305084, -0.029655594378709793, -0.11134848743677139, 0.010263663716614246, -0.04310402646660805, 0.09022938460111618, -0.016766751185059547, -0.021776560693979263, -0.033290982246398926, -0.2338424026966095, 0.04085826873779297, -0.18045663833618164, -0.12073761969804764, 0.17635127902030945, -0.19144979119300842, 0.08201556652784348, -0.15986479818820953, -0.14538800716400146, 0.314694881439209, 0.2374773919582367, 0.16484807431697845, 0.3095913529396057, 0.24342989921569824, 0.17162469029426575, 0.12415160238742828, 0.2437596619129181, -0.06610921770334244, -0.23139312863349915, 0.2224913388490677, -0.07120483368635178, -0.04339131340384483, 0.08812500536441803, 0.03675736114382744]"
oui carrément hier midi commander total affaire  euro surprise portion,"[0.4710772931575775, -0.02623826079070568, 0.09008733183145523, 0.24488094449043274, 0.16396251320838928, -0.5705008506774902, 0.09716563671827316, -0.03967699781060219, -0.4492495357990265, 0.16635318100452423, 0.2627842128276825, -0.11516444385051727, -0.3410753905773163, -0.10418175905942917, 0.03546493127942085, 0.394671767950058, -0.07540982216596603, 0.03126687929034233, -0.1077289879322052, 0.5215190052986145, 0.28386980295181274, 0.4325536787509918, 0.37832123041152954, -0.4146450459957123, -0.20712774991989136, 0.2950664758682251, -0.04905368387699127, 0.02561001665890217, -0.03711709380149841, -0.1743832677602768, 0.014380290172994137, 0.26742833852767944, -0.005577083211392164, -0.1102796420454979, 0.014228456653654575, -0.047324225306510925, 0.09775944799184799, -0.012981513515114784, -0.018333161249756813, -0.04202800989151001, -0.19232268631458282, 0.05332253873348236, -0.18845029175281525, -0.08536484837532043, 0.14739224314689636, -0.1703229695558548, 0.06844501942396164, -0.1402452141046524, -0.13669678568840027, 0.27964502573013306, 0.19027483463287354, 0.15717118978500366, 0.27573931217193604, 0.2161632627248764, 0.16567978262901306, 0.14298775792121887, 0.21393842995166779, -0.054395098239183426, -0.20280180871486664, 0.2061731517314911, -0.06432007998228073, -0.0386580191552639, 0.09344670921564102, 0.025816304609179497]"
ambiance super chouette nostalgique non année / trouver tas souvenir sympa menu plein humour,"[0.4405892789363861, -0.018634183332324028, 0.06158149242401123, 0.2123706042766571, 0.15202730894088745, -0.5211971402168274, 0.07890423387289047, -0.07632412761449814, -0.44026243686676025, 0.16016337275505066, 0.2676641643047333, -0.10107072442770004, -0.3162820637226105, -0.09452473372220993, 0.050746768712997437, 0.3950249254703522, -0.1020035371184349, 0.053464051336050034, -0.10522907227277756, 0.48612546920776367, 0.2971362769603729, 0.4287499189376831, 0.33757004141807556, -0.41746366024017334, -0.2040436565876007, 0.2967551648616791, -0.07537632435560226, 0.003517371602356434, -0.04543907567858696, -0.16012367606163025, 0.018196865916252136, 0.2509000599384308, -0.012936827726662159, -0.08946723490953445, 0.008280089125037193, -0.04237300157546997, 0.09638378769159317, -0.03311370313167572, -0.010084277018904686, -0.03403317928314209, -0.20268560945987701, 0.0685180202126503, -0.17644071578979492, -0.11214923858642578, 0.1587296575307846, -0.17055188119411469, 0.0569307841360569, -0.1421084851026535, -0.12950962781906128, 0.2718821167945862, 0.2172878086566925, 0.14925101399421692, 0.27984127402305603, 0.1961006373167038, 0.1608203500509262, 0.13551053404808044, 0.19113649427890778, -0.03452045097947121, -0.18094319105148315, 0.21542562544345856, -0.06939353048801422, -0.03715056926012039, 0.08391054719686508, 0.010510521940886974]"
mot honteux  habitué restaurant décide soir faire appel service deliveroo faire livrer menu mezze,"[0.5531736016273499, -0.021783431991934776, 0.1021076962351799, 0.30320507287979126, 0.19945946335792542, -0.6409106254577637, 0.09246347844600677, -0.06835289299488068, -0.5268555283546448, 0.19126981496810913, 0.3104783892631531, -0.13301289081573486, -0.386258602142334, -0.11651890724897385, 0.049041930586099625, 0.440054327249527, -0.10336483269929886, 0.03989292308688164, -0.1294417828321457, 0.5884777307510376, 0.32635003328323364, 0.4997272193431854, 0.4374486207962036, -0.4853440523147583, -0.2589237689971924, 0.33285561203956604, -0.05552573874592781, 0.008734337985515594, -0.05820249021053314, -0.20319510996341705, 0.017555082216858864, 0.29734042286872864, -0.009881865233182907, -0.11242004483938217, 0.014393920078873634, -0.04070247337222099, 0.10658518224954605, -0.019525956362485886, -0.02916821837425232, -0.04717179015278816, -0.24791526794433594, 0.03720980882644653, -0.19542035460472107, -0.13231921195983887, 0.18773330748081207, -0.20248442888259888, 0.07509274780750275, -0.17716169357299805, -0.13641583919525146, 0.32744425535202026, 0.23164935410022736, 0.17914290726184845, 0.3346712589263916, 0.23858235776424408, 0.17894098162651062, 0.14518728852272034, 0.2502586245536804, -0.08121488988399506, -0.2583540976047516, 0.2517326772212982, -0.07105901092290878, -0.04696502164006233, 0.09681270271539688, 0.03231411799788475]"
avoir visiter établissement soir pizza mal accueil service quelconque passer semaine,"[0.20102356374263763, -0.007247409783303738, 0.047149658203125, 0.13054344058036804, 0.05898032337427139, -0.2231776863336563, 0.03055693209171295, -0.033317871391773224, -0.19700683653354645, 0.08349233865737915, 0.12487185746431351, -0.04235890507698059, -0.1238182857632637, -0.03484608978033066, 0.009765956550836563, 0.1544497311115265, -0.031615544110536575, 0.01076284609735012, -0.07179909944534302, 0.2393704652786255, 0.13232620060443878, 0.2027568817138672, 0.17585355043411255, -0.1826331913471222, -0.10638376325368881, 0.1317126303911209, -0.0041091847233474255, 0.012654470279812813, -0.03346734121441841, -0.08504507690668106, 0.01039137039333582, 0.11999130994081497, -0.004570669028908014, -0.03547200188040733, -0.013119317591190338, -0.006624545902013779, 0.03865758702158928, -0.006658114027231932, -0.013242561370134354, -0.008037125691771507, -0.10854262113571167, 0.01055705826729536, -0.08760037273168564, -0.07266367971897125, 0.07387541979551315, -0.09037543088197708, 0.023294907063245773, -0.081796795129776, -0.03368128836154938, 0.12661084532737732, 0.0774705782532692, 0.08327747881412506, 0.1128033846616745, 0.10202418267726898, 0.05808781087398529, 0.05073576048016548, 0.09688863158226013, -0.04334462434053421, -0.0833943635225296, 0.07167970389127731, -0.02586565539240837, -0.0048821307718753815, 0.022533126175403595, 0.020809948444366455]"
restaurer serveur jamais nickel cas ouverture an  personnel sympathique,"[0.22972901165485382, -0.006109433248639107, 0.04148514196276665, 0.11522888392210007, 0.07159712165594101, -0.2767826318740845, 0.0462011843919754, -0.023427123203873634, -0.21785056591033936, 0.1091851219534874, 0.1438002735376358, -0.04746647924184799, -0.1600908637046814, -0.05161323770880699, 0.04251248389482498, 0.2058383971452713, -0.05499959737062454, 0.011674129404127598, -0.04832369089126587, 0.2546565532684326, 0.14433646202087402, 0.20865635573863983, 0.1674584150314331, -0.1999489963054657, -0.10530924797058105, 0.14805710315704346, -0.01687840186059475, 0.0026669029612094164, -0.012915401719510555, -0.0626220777630806, -0.00994851440191269, 0.13478489220142365, 0.006895335391163826, -0.056783657521009445, 0.019463954493403435, 0.0021620984189212322, 0.043259236961603165, 0.0011174749815836549, -0.01124170608818531, -0.011005355976521969, -0.10895804315805435, 0.03231383487582207, -0.07147999852895737, -0.05074620991945267, 0.09034073352813721, -0.10257455706596375, 0.040308877825737, -0.06897872686386108, -0.06963808089494705, 0.13764561712741852, 0.09830472618341446, 0.07398158311843872, 0.14560087025165558, 0.10207045078277588, 0.08398700505495071, 0.054994892328977585, 0.09740602970123291, -0.02546917274594307, -0.09513867646455765, 0.12311141192913055, -0.03364075347781181, -0.02296106331050396, 0.052459221333265305, 0.00789116881787777]"
suranné  pension passer bon moment restaurant bon réputation déception total addition pension aller,"[0.4094986021518707, -0.02636566571891308, 0.06923369318246841, 0.20277193188667297, 0.12503878772258759, -0.46291863918304443, 0.08419085294008255, -0.05167689919471741, -0.381219744682312, 0.170705184340477, 0.2223602831363678, -0.09617939591407776, -0.2889310121536255, -0.08773983269929886, 0.025301603600382805, 0.3307535648345947, -0.0625230073928833, 0.03009851835668087, -0.1044284999370575, 0.4559861123561859, 0.25517839193344116, 0.3760557472705841, 0.3338993787765503, -0.3603302836418152, -0.1821187138557434, 0.26271021366119385, -0.0247561763972044, 0.015101714991033077, -0.0355122834444046, -0.14700232446193695, 0.009856009855866432, 0.23024137318134308, -0.021413445472717285, -0.11833137273788452, 0.0077738286927342415, -0.04615970328450203, 0.07332047820091248, -0.0036663259379565716, -0.0002508849138393998, -0.031286779791116714, -0.17374834418296814, 0.04439787194132805, -0.1514642834663391, -0.08804742991924286, 0.1338280886411667, -0.14361216127872467, 0.03251053765416145, -0.12942516803741455, -0.11161094903945923, 0.25369465351104736, 0.1588936448097229, 0.13501250743865967, 0.24925030767917633, 0.1992235779762268, 0.12236559391021729, 0.0914897695183754, 0.16188806295394897, -0.05432824045419693, -0.16653843224048615, 0.17258323729038239, -0.05704299733042717, -0.024398773908615112, 0.07748579978942871, 0.03274784982204437]"
premier fois restaurant être attirer apparence entrer luxueux prix suivre mieux,"[0.3381594121456146, -0.02323397807776928, 0.07449672371149063, 0.1729959100484848, 0.13797788321971893, -0.4082466959953308, 0.06566975265741348, -0.0254124216735363, -0.35168421268463135, 0.13057976961135864, 0.19374939799308777, -0.07858279347419739, -0.25480809807777405, -0.08616712689399719, 0.022088974714279175, 0.28896811604499817, -0.05508489906787872, 0.009517206810414791, -0.0747937336564064, 0.3681655824184418, 0.2242417186498642, 0.3260596990585327, 0.27088433504104614, -0.30607500672340393, -0.16258423030376434, 0.24496935307979584, -0.05067194253206253, -0.009033773094415665, -0.03317039832472801, -0.13542301952838898, 0.005664200056344271, 0.17960308492183685, -0.006551158614456654, -0.09200508147478104, 0.010212845169007778, -0.0356232188642025, 0.0674171969294548, 0.0022122422233223915, -0.007963771931827068, -0.03451729193329811, -0.14572575688362122, 0.03520498424768448, -0.13191595673561096, -0.06601379066705704, 0.11506269127130508, -0.10852181911468506, 0.05155985429883003, -0.10484626889228821, -0.10910356044769287, 0.2153785675764084, 0.13521263003349304, 0.11604297906160355, 0.19672054052352905, 0.1461261361837387, 0.10796893388032913, 0.1024688109755516, 0.1515529751777649, -0.03856906667351723, -0.16797570884227753, 0.14571347832679749, -0.06038574129343033, -0.044298626482486725, 0.057389628142118454, 0.010816245339810848]"
emplacement idéal pla place ralliement prix excessif contraire qualité nourriture forcement bon,"[0.5588124394416809, -0.03557359054684639, 0.09857329726219177, 0.286955326795578, 0.19211064279079437, -0.6666327714920044, 0.11020360887050629, -0.043160535395145416, -0.5621769428253174, 0.22210174798965454, 0.32592684030532837, -0.13185405731201172, -0.4013073444366455, -0.14176972210407257, 0.04482882842421532, 0.47319769859313965, -0.08591960370540619, 0.05253598093986511, -0.1398390382528305, 0.6087497472763062, 0.3443605899810791, 0.5371291637420654, 0.4398769438266754, -0.5101140141487122, -0.25984901189804077, 0.3603573143482208, -0.05958225205540657, 0.017650557681918144, -0.04743846133351326, -0.20291846990585327, 0.001269029569812119, 0.3104304373264313, -0.02683897130191326, -0.14215295016765594, 0.019305892288684845, -0.05233693867921829, 0.10292612761259079, 0.0031705417204648256, -0.0025010842364281416, -0.026901664212346077, -0.26974645256996155, 0.05685611441731453, -0.2008526474237442, -0.11007782071828842, 0.1843128204345703, -0.2106180042028427, 0.07051800936460495, -0.17912566661834717, -0.18505741655826569, 0.34231165051460266, 0.23477573692798615, 0.18252967298030853, 0.3453024625778198, 0.27988430857658386, 0.18867804110050201, 0.1507544368505478, 0.24988017976284027, -0.0721515566110611, -0.2499680370092392, 0.244395449757576, -0.08234477043151855, -0.05915974825620651, 0.10105959326028824, 0.026644986122846603]"
bel terrasse voiture service long moyen re-service table sale,"[0.27453258633613586, 0.015050824731588364, 0.030285444110631943, 0.11596424877643585, 0.07183071970939636, -0.30919504165649414, 0.048131346702575684, -0.036250997334718704, -0.26358160376548767, 0.11012708395719528, 0.16239041090011597, -0.059601791203022, -0.18975509703159332, -0.053463373333215714, 0.039804521948099136, 0.22421379387378693, -0.03990824148058891, 0.004756764508783817, -0.07443921267986298, 0.2743481397628784, 0.15339520573616028, 0.25529351830482483, 0.21383549273014069, -0.22672109305858612, -0.13950856029987335, 0.18394707143306732, -0.03624594956636429, 0.005169941112399101, -0.013247688300907612, -0.10662547498941422, 0.00415917718783021, 0.15682807564735413, -0.018391838297247887, -0.06352940946817398, 0.001036368077620864, -0.03700181841850281, 0.05408706143498421, 0.0038498376961797476, 0.004349847324192524, -0.01597321778535843, -0.10784324258565903, 0.02719598449766636, -0.09891130775213242, -0.0554911233484745, 0.0891488641500473, -0.09665528684854507, 0.04506218433380127, -0.09123460203409195, -0.07437347620725632, 0.16830989718437195, 0.11942095309495926, 0.05885976552963257, 0.1736832857131958, 0.12965801358222961, 0.07913927733898163, 0.07925684750080109, 0.11785653233528137, -0.02902515046298504, -0.12587383389472961, 0.1301979124546051, -0.04257535561919212, -0.029985427856445312, 0.03889283910393715, 0.015470530837774277]"
classique  cadr vieillot manger bien cuisine classique saisonnier morille juin bon,"[0.5920507907867432, -0.023499786853790283, 0.09833905845880508, 0.2897939682006836, 0.2031158208847046, -0.6754696369171143, 0.08336964249610901, -0.0559319444000721, -0.5751705765724182, 0.21549133956432343, 0.3289411962032318, -0.13847950100898743, -0.40973785519599915, -0.15376628935337067, 0.05401413515210152, 0.4967101812362671, -0.09153425693511963, 0.037494368851184845, -0.11791065335273743, 0.6434674263000488, 0.3574211895465851, 0.5475748777389526, 0.46953898668289185, -0.5142271518707275, -0.2666372060775757, 0.38184618949890137, -0.06292146444320679, 0.021629108116030693, -0.03617032989859581, -0.19852867722511292, 0.0001300454168813303, 0.3006677031517029, -0.030083784833550453, -0.13891419768333435, 0.02855241857469082, -0.05879050865769386, 0.10952583700418472, 0.0029612297657877207, -0.014868454076349735, -0.03253835439682007, -0.2600758373737335, 0.06180073320865631, -0.22081468999385834, -0.11257603019475937, 0.18910092115402222, -0.20725806057453156, 0.07644040882587433, -0.2023318111896515, -0.17862313985824585, 0.33826279640197754, 0.24163809418678284, 0.16830739378929138, 0.36028552055358887, 0.287352055311203, 0.19732239842414856, 0.15678130090236664, 0.2549282908439636, -0.06196049973368645, -0.2585368752479553, 0.25219643115997314, -0.09119648486375809, -0.06195251643657684, 0.114527627825737, 0.028112243860960007]"
